2021-01-09 13:59:53,780 - 20 - baseyaml.py - 21 - root - INFO - 读取yaml文件成功,数据为：{'db': {'host': 'test.lemonban.com', 'port': 3306, 'user': 'future', 'password': '123456', 'database': 'futureloan', 'charser': 'utf8'}, 'GD_key': {'key': '6fa0bb3ee8cc85e295f544b39b6c892b'}, 'GD_url': {'input_prompt': 'https://restapi.amap.com/v3/assistant/inputtips'}, 'user_info': {'mobilephone': 15957250692, 'pwd': 12345678, 'password': 12345678, 'amount': 100, 'loanId': 2}, 'invest_info': {'amount': 100}, 'add_loan': {'title': 'hh', 'amount': 10000, 'loanRate': 25, 'loanTerm': 6, 'loanDateType': 4, 'repaymemtWay': 10, 'biddingDays': 10}, 'host': {'url': 'http://test.lemonban.com/futureloan/mvc/api'}}
2021-01-09 13:59:56,838 - 20 - baseyaml.py - 21 - root - INFO - 读取yaml文件成功,数据为：{'db': {'host': 'test.lemonban.com', 'port': 3306, 'user': 'future', 'password': '123456', 'database': 'futureloan', 'charser': 'utf8'}, 'GD_key': {'key': '6fa0bb3ee8cc85e295f544b39b6c892b'}, 'GD_url': {'input_prompt': 'https://restapi.amap.com/v3/assistant/inputtips'}, 'user_info': {'mobilephone': 15957250692, 'pwd': 12345678, 'password': 12345678, 'amount': 100, 'loanId': 2}, 'invest_info': {'amount': 100}, 'add_loan': {'title': 'hh', 'amount': 10000, 'loanRate': 25, 'loanTerm': 6, 'loanDateType': 4, 'repaymemtWay': 10, 'biddingDays': 10}, 'host': {'url': 'http://test.lemonban.com/futureloan/mvc/api'}}
2021-01-09 13:59:56,838 - 20 - baseexcel.py - 36 - root - INFO - 加载excel表单成功
2021-01-09 13:59:56,869 - 20 - conftest.py - 24 - root - INFO - ******开始执行测试用例******
2021-01-09 13:59:57,136 - 20 - help.py - 148 - root - INFO - 没有2天前的日志了
2021-01-09 13:59:57,141 - 20 - baseyaml.py - 21 - root - INFO - 读取yaml文件成功,数据为：{'db': {'host': 'test.lemonban.com', 'port': 3306, 'user': 'future', 'password': '123456', 'database': 'futureloan', 'charser': 'utf8'}, 'GD_key': {'key': '6fa0bb3ee8cc85e295f544b39b6c892b'}, 'GD_url': {'input_prompt': 'https://restapi.amap.com/v3/assistant/inputtips'}, 'user_info': {'mobilephone': 15957250692, 'pwd': 12345678, 'password': 12345678, 'amount': 100, 'loanId': 2}, 'invest_info': {'amount': 100}, 'add_loan': {'title': 'hh', 'amount': 10000, 'loanRate': 25, 'loanTerm': 6, 'loanDateType': 4, 'repaymemtWay': 10, 'biddingDays': 10}, 'host': {'url': 'http://test.lemonban.com/futureloan/mvc/api'}}
2021-01-09 13:59:57,311 - 20 - baseyaml.py - 21 - root - INFO - 读取yaml文件成功,数据为：{'db': {'host': 'test.lemonban.com', 'port': 3306, 'user': 'future', 'password': '123456', 'database': 'futureloan', 'charser': 'utf8'}, 'GD_key': {'key': '6fa0bb3ee8cc85e295f544b39b6c892b'}, 'GD_url': {'input_prompt': 'https://restapi.amap.com/v3/assistant/inputtips'}, 'user_info': {'mobilephone': 15957250692, 'pwd': 12345678, 'password': 12345678, 'amount': 100, 'loanId': 2}, 'invest_info': {'amount': 100}, 'add_loan': {'title': 'hh', 'amount': 10000, 'loanRate': 25, 'loanTerm': 6, 'loanDateType': 4, 'repaymemtWay': 10, 'biddingDays': 10}, 'host': {'url': 'http://test.lemonban.com/futureloan/mvc/api'}}
2021-01-09 13:59:57,323 - 20 - baseyaml.py - 21 - root - INFO - 读取yaml文件成功,数据为：{'db': {'host': 'test.lemonban.com', 'port': 3306, 'user': 'future', 'password': '123456', 'database': 'futureloan', 'charser': 'utf8'}, 'GD_key': {'key': '6fa0bb3ee8cc85e295f544b39b6c892b'}, 'GD_url': {'input_prompt': 'https://restapi.amap.com/v3/assistant/inputtips'}, 'user_info': {'mobilephone': 15957250692, 'pwd': 12345678, 'password': 12345678, 'amount': 100, 'loanId': 2}, 'invest_info': {'amount': 100}, 'add_loan': {'title': 'hh', 'amount': 10000, 'loanRate': 25, 'loanTerm': 6, 'loanDateType': 4, 'repaymemtWay': 10, 'biddingDays': 10}, 'host': {'url': 'http://test.lemonban.com/futureloan/mvc/api'}}
2021-01-09 13:59:57,336 - 20 - baseyaml.py - 21 - root - INFO - 读取yaml文件成功,数据为：{'db': {'host': 'test.lemonban.com', 'port': 3306, 'user': 'future', 'password': '123456', 'database': 'futureloan', 'charser': 'utf8'}, 'GD_key': {'key': '6fa0bb3ee8cc85e295f544b39b6c892b'}, 'GD_url': {'input_prompt': 'https://restapi.amap.com/v3/assistant/inputtips'}, 'user_info': {'mobilephone': 15957250692, 'pwd': 12345678, 'password': 12345678, 'amount': 100, 'loanId': 2}, 'invest_info': {'amount': 100}, 'add_loan': {'title': 'hh', 'amount': 10000, 'loanRate': 25, 'loanTerm': 6, 'loanDateType': 4, 'repaymemtWay': 10, 'biddingDays': 10}, 'host': {'url': 'http://test.lemonban.com/futureloan/mvc/api'}}
2021-01-09 13:59:57,346 - 20 - baseyaml.py - 21 - root - INFO - 读取yaml文件成功,数据为：{'db': {'host': 'test.lemonban.com', 'port': 3306, 'user': 'future', 'password': '123456', 'database': 'futureloan', 'charser': 'utf8'}, 'GD_key': {'key': '6fa0bb3ee8cc85e295f544b39b6c892b'}, 'GD_url': {'input_prompt': 'https://restapi.amap.com/v3/assistant/inputtips'}, 'user_info': {'mobilephone': 15957250692, 'pwd': 12345678, 'password': 12345678, 'amount': 100, 'loanId': 2}, 'invest_info': {'amount': 100}, 'add_loan': {'title': 'hh', 'amount': 10000, 'loanRate': 25, 'loanTerm': 6, 'loanDateType': 4, 'repaymemtWay': 10, 'biddingDays': 10}, 'host': {'url': 'http://test.lemonban.com/futureloan/mvc/api'}}
2021-01-09 13:59:57,357 - 20 - baseyaml.py - 21 - root - INFO - 读取yaml文件成功,数据为：{'db': {'host': 'test.lemonban.com', 'port': 3306, 'user': 'future', 'password': '123456', 'database': 'futureloan', 'charser': 'utf8'}, 'GD_key': {'key': '6fa0bb3ee8cc85e295f544b39b6c892b'}, 'GD_url': {'input_prompt': 'https://restapi.amap.com/v3/assistant/inputtips'}, 'user_info': {'mobilephone': 15957250692, 'pwd': 12345678, 'password': 12345678, 'amount': 100, 'loanId': 2}, 'invest_info': {'amount': 100}, 'add_loan': {'title': 'hh', 'amount': 10000, 'loanRate': 25, 'loanTerm': 6, 'loanDateType': 4, 'repaymemtWay': 10, 'biddingDays': 10}, 'host': {'url': 'http://test.lemonban.com/futureloan/mvc/api'}}
